,"Else if was not working","Wrong syntax,I wrote elseif (as an unique word) and I forgot to separate them: else if.","2014-11-10","1","2014-11-10","2014-11-10"
,"CSS boxes do not keep proper size when using float:left at the ending.  Easy to solve","Add an empty div tag (open and close tags) with CSS property ||clear:both|| at the ending of the box.  It fixes it all.","2014-11-10","1","2014-11-10","2014-11-10"
,"A frequent mistake is forgeting to close curled barckets.","Always open paired, brackets, curled brackets and parenthesis.","2014-11-10","1","2014-11-10","2014-11-10"
,"Another easy to do mistake: with 'if' functions, adding spaces that does not exist in original value generate an error.","Copy and paste as much as possible in order to avoid unexact writting.","2014-11-10","1","2014-11-10","2014-11-10"
,"Syntax err: writting WIDTH i ended with HT instead of TH","Standardize in Excel frameworks as muc as possible","2014-11-10","1","2014-11-10","2014-11-10"
,"Width did not set to 800 inside div tag (with CSS)","Add px - 800px. It solved it","2014-11-10","1","2014-11-10","2014-11-10"
,"Syntax err: writting font ARIA (without ending L)","Standardize in Excel frameworks as muc as possible","2014-11-10","1","2014-11-10","2014-11-10"
,"Doctype html public' dissabled TABLE sizes.","","2014-11-10","1","2014-11-10","2014-11-10"
,"style='position:fixed' do not allow scrolling when content is bigger than screen","","2014-11-10","1","2014-11-10","2014-11-10"
,"localhost always goes inside quotation marks.","Standardize in Excel frameworks as muc as possible","2014-11-10","1","2014-11-10","2014-11-10"
,"SQL connection failed because of user and password missing","Standardize in Excel frameworks as muc as possible","2014-11-10","1","2014-11-10","2014-11-10"
,"Same form inside two different div tags do not execute submit","Use AJAX to submit forms","2014-11-10","1","2014-11-10","2014-11-10"
,"After editing a 12 thousand records array, it blocked web page.","Have always a backup copy of data of great ammount","2014-11-10","1","2014-11-10","2014-11-10"
,"SQL query was not echoing desired data, I forgot to use the 'mysql_fetch_array' function","Standardize in Excel frameworks as muc as possible","2014-11-10","1","2014-11-10","2014-11-10"
,"For mathematical issues rowspan and colspand block easily","Standardize in Excel frameworks as muc as possible","2014-11-10","1","2014-11-10","2014-11-10"
